DATETIME;DOCUMENT;USERNAME;COMPUTER;PRINTER;COUNT
2019-04-30 14:53:08.778368;Приложение .xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:53:21.403608;Протокол .xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:53:37.810173;РУ Китруда.pdf;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 14:53:52.810461;Счет фактура.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:54:07.935753;Счет.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:54:20.951628;Торг 12 202 аук..xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:55:11.061964;Пробная страница;martynenko.av;ST186SB;Office_mb5;1
2019-04-30 14:58:57.894444;Microsoft Word - Акт приема передачи 203 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:59:15.785414;Китруда 8302617001.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
2019-04-30 14:59:21.629276;Приложение.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:59:32.707613;Протокол.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 14:59:46.973513;РУ Китруда.pdf;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 14:59:54.739286;Счет .xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:00:06.239506;Счет фактура.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:00:16.739708;Торг 12 203 аук..xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:05:31.042618;Microsoft Word - Акт приема передачи 205 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:05:45.542896;Китруда 8302617001.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
2019-04-30 15:05:51.355509;Приложение.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:06:00.433807;Протокол.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:06:03.183861;FastReport: Накладная СВОДНАЯ (посерийно) (пак) Новая;martynenko.av;ST186SB;Office_mb5;1
2019-04-30 15:06:13.137177;РУ Китруда.pdf;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 15:06:20.777948;Счет фактура.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:06:31.450027;Счет.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:06:42.043982;Торг 12 205 аук..xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:09:08.515543;Microsoft Word - Акт приема передачи 206 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:09:23.531458;Китруда 8302617001.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
2019-04-30 15:09:28.453426;Приложение.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:09:39.438013;Протокол.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:09:51.625746;РУ Китруда.pdf;malafeeva_mm;KRMPZX634;Office_mb2;2
2019-04-30 15:09:59.563400;Счет .xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:10:08.204189;Счет фактура.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:10:18.766891;Торг 206 аук..xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:10:38.142265;Microsoft Word - Акт приема передачи 207 аук;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:10:52.908173;Китруда 8302617001.pdf;malafeeva_mm;KRMPZX634;Office_mb2;4
2019-04-30 15:10:58.127024;Приложение.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
2019-04-30 15:11:06.486559;Протокол.xls;malafeeva_mm;KRMPZX634;Office_mb2;1
